ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Type_of_Issuer,Use_of_Proceed,Principal_Currency,F1985,F1986,F1987,F1990,F1991,F1992,F1993,F1994,F1999,F2000,F2002,F2003,F2004,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
1,Argentina,AR,ARG,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.9739174,,,0.1793995,0.8956597
2,Australia,AU,AUS,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,0.5483419,0.5634015,0.5714392,2.665648,2.367815,2.101684,2.438814,5.011424
3,Austria,AT,AUT,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,0.5660527,,1.4,0.5430279,0.5708495,2.274856,1.730675,2.861149
4,Bangladesh,BD,BGD,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3496503
5,Belgium,BE,BEL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,0.0299397,,,,,,,,,,,0.0622658,,12.37391,,1.491549,3.370447
6,Belgium,BE,BEL,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,11.80786,,,
7,Bermuda,BM,BMU,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,0.1101946,0.1259049,0.9632401,0.45,2.96,1.95
8,Brazil,BR,BRA,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,1.132105,0.0375382,2.086444,0.1535039,1.03676,0.5754681,1.058682
9,British Virgin Islands,VG,VGB,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,0.322461,,,,0.4,,2.51195,1.461548,1.116056,4.794233
10,Canada,CA,CAN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,1.26727,0.4764844,1.215782,2.892866,5.890658,6.681293,10.82291,14.47387
11,Cayman Islands,KY,CYM,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,0.3,,1.6,1.821477,1.274721,3.29905,6.27929,10.23071
12,Chile,CL,CHL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,1,0.058788,6.136097,2.936661,5.8718
13,Chile,CL,CHL,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,4.531266,2.936661,
14,"China, P.R.: Hong Kong",HK,HKG,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,0.3,,1.003702,3.191144,7.734785,4.452285,16.72891
15,"China, P.R.: Hong Kong",HK,HKG,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8.771686
16,"China, P.R.: Macao",MO,MAC,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998237,0.4743008,1.031513
17,"China, P.R.: Mainland",CN,CHN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,0.156816,0.9941088,31.30316,31.25946,31.90151,41.36027,29.99943,72.27219
18,Colombia,CO,COL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.0509164,0.170745,,0.0764541,0.5341986
19,Colombia,CO,COL,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3811928
20,Costa Rica,CR,CRI,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
21,Czech Rep.,CZ,CZE,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9622896
22,Denmark,DK,DNK,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,0.6198825,,1.981184,0.849079,12.35764,1.749925,7.263042
23,"Egypt, Arab Rep. of",EG,EGY,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,
24,"Egypt, Arab Rep. of",EG,EGY,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,
25,"Estonia, Rep. of",EE,EST,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,0.0680448,,,,,,
26,"Fiji, Rep. of",FJ,FJI,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.04601,,,,
27,"Fiji, Rep. of",FJ,FJI,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.04601,,,,
28,Finland,FI,FIN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,1,1.281181,0.1132105,3.037428,3.103589,4.035055
29,France,FR,FRA,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,0.3,,0,,,,,,,,,,,,,,,0.6503946,2.202384,6.581086,9.234456,6.298816,25.43763,14.91695,38.64855,37.66497,47.52436
30,France,FR,FRA,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,12.40808,6.520734,7.520085,8.579576,16.06005
31,Georgia,GE,GEO,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1
32,Germany,DE,DEU,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,0.0291793,0.0350152,0.0175076,,,0.0272179,,0.3497523,,,0.1132105,,,,,0.3396316,3.778793,7.088317,4.436106,8.463227,6.752021,22.37684,41.39914,71.70096
33,Germany,DE,DEU,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01921,14.15132
34,Greece,GR,GRC,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.1698158,0.5660527,1.60759
35,Guernsey,GG,GGY,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.022675,0.5310971,0.0210322
36,Hungary,HU,HUN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,2.194457,0.8961061
37,Hungary,HU,HUN,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,1.872071,0.4566329
38,Iceland,IS,ISL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7386547,1.018895
39,India,IN,IND,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,0.7757923,0.6612356,2.013853,,3.550931,0.9394191,5.04372
40,Indonesia,ID,IDN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,2.539084,1.601911,1.878447,2.14904
41,Ireland,IE,IRL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,0.1085305,,,,,,,,,,,,7.753589,1.358526,2.254823,5.1524
42,Ireland,IE,IRL,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,7.752759,,,
43,Israel,IL,ISR,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
44,Italy,IT,ITA,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,0.0481737,0.0261028,,,,,,,,,,,0.5817476,,0.4245395,1.915476,2.270324,6.629275,5.054851,23.71761
45,Italy,IT,ITA,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.28342
46,Japan,JP,JPN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,0.340224,0.9082688,1.086957,1.479931,5.085036,8.246967,9.297937,17.15026
47,Jersey,JE,JEY,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,1.132105,0.115,0.3962369
48,"Korea, Rep. of",KR,KOR,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,0.5,,,1.4,0.3857449,3.847799,8.145329,3.856749,26.6735
49,"Korea, Rep. of",KR,KOR,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.7924738
50,Latvia,LV,LVA,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,0.1132105,0.0283026,0.0226421,,,,0.1698158
51,Liechtenstein,LI,LIE,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.108038,0.1085187,0.6792632
52,Lithuania,LT,LTU,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.3396316,0.4166148,,,
53,Lithuania,LT,LTU,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,0.0769832,,,
54,Luxembourg,LU,LUX,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,0.011359,,,,,,,,,,,2.817453,3.099489,1.236416,2.137438,4.606205,10.34347
55,Malaysia,MY,MYS,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.4744299,0.2180546,0.4986162,0.124275,0.1529637
56,"Marshall Islands, Rep. of the",MH,MHL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,
57,Mauritius,MU,MUS,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,1,1.95,,2.770202,0.65,6.042
58,Mexico,MX,MEX,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,1,4.147905,8.75777,0.3856004,0.1232742,1.62251,0.0707396
59,Morocco,MA,MAR,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.0144533,,,,
60,Namibia,NA,NAM,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,0.0042609,,,
61,"Netherlands, The",NL,NLD,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,0.0751202,,,,,,,,,,,,,,,,,,1.414332,5.065062,7.619474,11.40386,11.77574,24.88572,26.02324,35.37054
62,"Netherlands, The",NL,NLD,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,12.12259,,
63,New Zealand,NZ,NZL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,0.033495,0.0440999,0.1958034,0.1322996,0.100485,0.167475,0.26796,0.301455,0.7201425,1.39616
64,Nigeria,NG,NGA,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.0257361,,0.0722248,,
65,Nigeria,NG,NGA,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.0257361,,0.0361124,,
66,Norway,NO,NOR,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,0.03,,,,,,,,,,0.0396237,,,,,,0.1137614,0.0153545,,1,0.3916906,2.334791,1.133614,0.6870686,3.318214,5.877162,6.78682,13.80367
67,Pakistan,PK,PAK,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
68,Panama,PA,PAN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,0.037,,,,,,,0.042,0.535328,
69,Peru,PE,PER,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,0.408,,,,0.0268731,1.280619,0.2,
70,Philippines,PH,PHL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.6996966,0.5583317,0.0972195
71,"Poland, Rep. of",PL,POL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,0.8478792,,1.132105,2.489498,,1.132105
72,"Poland, Rep. of",PL,POL,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,0.8478792,,1.132105,2.264211,,
