ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Type_of_Issuer,Use_of_Proceed,Principal_Currency,F1985,F1986,F1987,F1990,F1991,F1992,F1993,F1994,F1999,F2000,F2002,F2003,F2004,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
73,Portugal,PT,PRT,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,1.256637,1.698158,2.377421
74,Romania,RO,ROU,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4831267
75,Russian Federation,RU,RUS,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.0073421,1.295941,1.062672
76,"Serbia, Rep. of",RS,SRB,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.264211
77,"Serbia, Rep. of",RS,SRB,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.264211
78,Seychelles,SC,SYC,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,
79,Seychelles,SC,SYC,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,
80,Singapore,SG,SGP,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,1.073774,0.0545825,2.697719,1.51754,5.568563
81,Slovak Rep.,SK,SVK,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4528421
82,"Slovenia, Rep. of",SI,SVN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,0.0849079,,,
83,South Africa,ZA,ZAF,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,0.0966946,,,0.06632,0.072952,0.1765439,0.2,0.0805788
84,Spain,ES,ESP,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,1.200016,,0.8937972,3.153716,3.611773,8.430446,9.779577,19.37708
85,Spain,ES,ESP,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.660527
86,Sweden,SE,SWE,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,0.1936508,1.536302,1.635014,3.689658,4.696447,7.155104,13.38228,15.27092,18.0517
87,Sweden,SE,SWE,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,4.257176,
88,Switzerland,CH,CHE,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,0.1085305,0.1681426,0.1097454,,,0.1080614,,,,,,,,,,,,,0.7542051,0.4780996,2.233752,0.9582203,1.817689
89,Taiwan Province of China,TW,TWN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.5758904,0.7751504,0.9367541,1.494112,0.8654534
90,Thailand,TH,THA,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,0.1041667,0.7124037,0.7321811,0.892413
91,Turkey,TR,TUR,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,1.896237
92,Ukraine,UA,UKR,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
93,United Arab Emirates,AE,ARE,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,0.35,1,0.587,,0.07,0.0961551,0.593267
94,United Kingdom,GB,GBR,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,0.4146825,0.3397478,0.8764911,0.5,2.19661,8.175406,4.05867,4.891677,40.07301
95,United Kingdom,GB,GBR,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.74386
96,United States,US,USA,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,0.025,,,,,,,,,,,0.013609,,,,,,,,0.5,2.1438,8.262994,6.075047,5.505944,8.877655,24.22611,34.42886,61.4917
97,Vietnam,VN,VNM,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,0.1535436,,,,,0.2
98,World,,WLD,Cumulative Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,0.055,0.355,0.4301202,0.4301202,0.4592995,0.6028452,0.7884954,0.8982408,0.9464145,0.9997353,1.14742,1.55208,1.660611,2.477149,3.004765,3.869958,6.979547,7.808047,10.51805,23.98023,57.6357,107.454,206.0112,348.5833,520.0809,820.3359,1139.406,1759.457
99,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Argentinian Unidades de Valor Adquisitivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
100,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Bangladeshi Taka,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3496503
101,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Chilean Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03111
102,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,European Currency Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
103,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Fijian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04601
104,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Icelandic Krona,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7386547
105,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Macanese Pataca,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373413
106,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Romanian Leu,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4973358
107,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,South Korean Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04803
108,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Sri Lankan Rupee,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0071048
109,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Ukrainian Hryvnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0200399
110,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Argentinian Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137908
111,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Australian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.62407
112,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Brazilian Real,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.200001
113,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,British Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2307
114,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Canadian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.63636
115,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Chilean Unidad de Fomento,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195926
116,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Chinese Yuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.4207
117,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Colombian Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.022277
118,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Czech Koruna,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0202739
119,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Danish Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.51022
120,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Deutsche Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0817021
121,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Euro,,,,,,,,,,,,,,,,,,,,,,,,,,,,731.6754
122,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Hong Kong Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21079
123,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Hungarian Forint,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.221328
124,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Indian Rupee,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.151352
125,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Indonesian Rupiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.368586
126,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Japanese Yen,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.87617
127,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Kazakhstani Tenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03264
128,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Malaysian Ringgit,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.490697
129,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Mexican Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.735519
130,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Moroccan Dirham,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0144533
131,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Namibian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0042609
132,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,New Zealand Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.802058
133,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Nigerian Naira,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1003626
134,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Norwegian Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.50526
135,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Peruvian Sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1392024
136,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Philippine Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4678242
137,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Polish Zloty,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2692
138,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Russian Ruble,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.803899
139,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Singapore Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.381094
140,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,South African Rand,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665037
141,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Swedish Krona,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.70171
142,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Swiss Franc,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.20979
143,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Taiwanese Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.182153
144,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.441164
145,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Turkish Lira,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4429074
146,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.2089
147,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,Vietnamese Dong,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1637967
